ID	FATHER	MOTHER																																												
263114193	240150347	263114105																																												
263114194	240150347	263114105																																												
263114189	239160615	263114105																																												
263114190	239160615	263114105																																												
263114192	222154155	263114105																																												
263114167	240150692	263114104																																												
263114168	240150692	263114104																																												
263114169	240150692	263114104																																												
263114170	240150692	263114104																																												
263114171	240150692	263114104																																												
263114172	240150692	263114104																																												
263114165	NA	263114103																																												
263114166	263114123	263114103																																												
263114164	263114122	263114103																																												
263114155	263114122	263114102																																												
263114156	263114122	263114102																																												
263114158	263114122	263114102																																												
263114157	240134819	263114102																																												
263114141	NA	263114101																																												
263114142	263114117	263114101																																												
263114143	263114117	263114101																																												
263114144	263114117	263114101																																												
263114477	263113823	263113811																																												
263114478	263113823	263113811																																												
262126129	NA	262126127																																												
262126130	NA	262126127																																												
262126131	NA	262126127																																												
262126132	NA	262126127																																												
262126125	NA	262126119																																												
262126126	160120824	262126119																																												
262126107	NA	262126011																																												
262126115	NA	262126011																																												
262126118	160120584	262126011																																												
262126106	262126009	262126011																																												
262126109	239160641	262126011																																												
262126110	240150330	262126010																																												
262126117	240150330	262126010																																												
262126108	240150325	262126010																																												
262126116	240150325	262126010																																												
262126098	NA	262126008																																												
262126065	NA	262126006																																												
262126087	NA	262126006																																												
262126068	240150330	262126006																																												
262126085	160120824	262126006																																												
262126088	160120824	262126006																																												
262125900	262125813	262126004																																												
262126066	262125813	262126004																																												
262126067	262125813	262126004																																												
262126069	262125813	262126004																																												
262126086	262125813	262126004																																												
262126089	262125813	262126004																																												
88004716	NA	260114209																																												
88004717	263114177	260114209																																												
88004718	263114177	260114209																																												
88004719	263114177	260114209																																												
263114499	263114177	260114209																																												
259122519	NA	259122510																																												
259122520	NA	259122510																																												
259122521	NA	259122510																																												
259122522	NA	259122510																																												
262126030	262126120	259122510																																												
262126031	240150338	259122510																																												
263114467	263113812	259122326																																												
160119274	240150347	259122322																																												
263114200	240134843	259122322																																												
263114462	263113819	246151951																																												
263114465	263113819	246151951																																												
263114459	259122676	246151951																																												
263114149	263114125	240151720																																												
240134829	240150695	240151641																																												
240134828	240134897	240151641																																												
263114159	240134897	240151641																																												
263114160	240134897	240151641																																												
263114162	240134897	240151641																																												
263114163	240134897	240151641																																												
240134825	240134814	240151641																																												
240134826	240134814	240151641																																												
240134827	240134814	240151641																																												
263114161	239159375	240151641																																												
259122602	NA	240151533																																												
259122498	259122442	240151533																																												
259122500	259122442	240151533																																												
259122601	259122442	240151533																																												
259122497	240150325	240151533																																												
259122481	240151301	240151532																																												
259122482	240151301	240151532																																												
259122483	240150294	240151532																																												
259122485	NA	240151530																																												
259122487	NA	240151530																																												
262126050	NA	240151530																																												
262126052	NA	240151530																																												
259122484	259122441	240151530																																												
259122486	259122441	240151530																																												
259122488	259122441	240151530																																												
262126047	240150736	240151530																																												
259122489	240150676	240151529																																												
259122491	240150338	240151529																																												
259122490	240150315	240151529																																												
259122492	240150315	240151529																																												
259122467	222154542	240151526																																												
259122468	222154542	240151526																																												
259122469	222154542	240151526																																												
259122470	191123962	240151526																																												
259122471	160120820	240151526																																												
259122476	NA	240151525																																												
259122473	240151578	240151525																																												
259122474	240151578	240151525																																												
259122475	240150338	240151525																																												
259122472	240150315	240151525																																												
259122511	NA	240151523																																												
259122512	240150330	240151523																																												
259122513	240150330	240151523																																												
259122514	240150330	240151523																																												
259122430	240151278	240151517																																												
259122431	240151278	240151517																																												
259122432	240151278	240151517																																												
259122433	240151278	240151517																																												
259122434	240151278	240151517																																												
240151573	NA	240151516																																												
240151574	NA	240151516																																												
240151575	NA	240151516																																												
240151577	NA	240151516																																												
240151576	240151538	240151516																																												
240151596	240151537	240151516																																												
262125816	240150868	240151516																																												
262125817	240150296	240151516																																												
262125818	240150296	240151516																																												
262125823	240150296	240151516																																												
259122417	240151451	240151514																																												
259122418	240151451	240151514																																												
259122419	240151451	240151514																																												
