ANIMAL	SOCNEST	GENNEST	YEAR	UNIT	EXP	SOCMOM	SOCDAD	GENMOM	GENDAD	SWAP	HATCH	BROODBAND	BDATE	AGEBAND	TIMEDAY	BASELATENCY	BASECORT	STRESSLATENCY	STRESSCORT	SLOPE	HEADBILL	FLATWING	MASS	SBMI	SEX	WPO	FATE															
259122426	21347	21347	2013	2	1	222154163	240151554	222154163	232173070	1	152	5	165	13	12.083	70	15.17	32	57.81	42.64	25.45	49.00	17.30	17.125	1	2	1															
259122427	21347	21347	2013	2	1	222154163	240151554	222154163	240151554	1	152	5	165	13	12.083	49	38.81	32	56.74	17.93	25.30	53.50	18.30	16.589	1	1	1															
259122428	21347	21347	2013	2	1	222154163	240151554	222154163	240151554	1	152	5	165	13	12.083	42	89.35	34	86.90	-2.45	24.75	50.00	15.00	14.551	1	1	1															
259122484	21352	21352	2013	2	1	240151530	259122441	240151530	259122441	1	161	5	173	12	12.033	83	6.54	37	12.64	6.10	25.90	47.10	19.45	20.030	2	1	1															
259122485	21352	21352	2013	2	1	240151530	259122441	240151530	NA	1	161	5	173	12	12.033	42	6.94	39	22.03	15.09	25.10	52.00	20.25	18.887	1	2	1															
259122486	21352	21352	2013	2	1	240151530	259122441	240151530	259122441	1	161	5	173	12	12.033	34	9.69	37	15.05	5.37	26.76	48.90	21.10	20.929	1	1	1															
259122487	21352	21352	2013	2	1	240151530	259122441	240151530	NA	1	161	5	173	12	12.033	75	6.43	36	7.52	1.09	25.00	46.20	20.00	20.998	1	2	1															
259122488	21352	21352	2013	2	1	240151530	259122441	240151530	259122441	1	161	5	173	12	12.033	53	8.54	39	5.16	-3.38	25.30	52.80	21.60	19.841	1	1	1															
259122489	21355	21355	2013	2	1	240151529	240150676	240151529	240150676	1	161	4	173	12	12.433	42	1.80	32	16.38	14.58	27.15	57.00	25.05	21.313	1	1	1															
259122490	21355	21355	2013	2	1	240151529	240150676	240151529	240150315	1	161	4	173	12	12.433	95	10.15	31	36.36	26.21	25.92	57.50	25.90	21.844	1	2	1															
259122491	21355	21355	2013	2	1	240151529	240150676	240151529	240150338	1	161	4	173	12	12.433	38	7.57	31	37.12	29.55	26.00	52.80	21.75	19.978	2	2	1															
259122492	21355	21355	2013	2	1	240151529	240150676	240151529	240150315	1	161	4	173	12	12.433	46	4.39	30	9.92	5.53	25.87	54.00	23.60	21.196	1	2	1															
259122413	21360	21360	2013	2	1	240151504	240150989	240151504	NA	1	150	5	163	13	14.467	82	1.42	40	1.23	-0.18	25.60	45.50	16.20	17.271	1	NA	2															
259122414	21360	21360	2013	2	1	240151504	240150989	240151504	NA	1	150	5	163	13	14.467	71	17.93	40	17.38	-0.55	25.10	45.00	12.10	13.043	1	NA	2															
259122415	21360	21360	2013	2	1	240151504	240150989	240151504	NA	1	150	5	163	13	14.467	94	2.70	40	1.39	-1.31	25.00	44.50	17.00	18.531	2	NA	2															
259122443	21361	21361	2013	2	1	240150406	160120825	240150406	240150338	1	155	4	168	13	12.317	60	6.36	35	5.02	-1.34	22.90	28.00	15.70	27.212	1	2	1															
259122444	21361	21361	2013	2	1	240150406	160120825	240150406	160120825	1	155	4	168	13	12.317	70	8.31	33	2.01	-6.30	23.40	35.20	14.20	19.573	2	1	1															
259122445	21361	21361	2013	2	1	240150406	160120825	240150406	160120825	1	155	4	168	13	12.317	72	3.25	33	4.09	0.84	23.48	34.00	12.60	17.981	2	1	1															
259122446	21361	21361	2013	2	1	240150406	160120825	240150406	160120825	1	155	4	168	13	12.317	70	17.98	33	23.46	5.48	23.37	31.60	10.25	15.740	1	1	1															
259122467	21367	21367	2013	2	1	240151526	160120820	240151526	222154542	1	158	5	170	12	12.433	87	6.41	30	4.93	-1.48	24.40	37.00	18.00	23.603	2	2	1															
259122468	21367	21367	2013	2	1	240151526	160120820	240151526	222154542	1	158	5	170	12	12.433	48	2.50	30	7.64	5.14	24.38	38.00	17.80	22.726	2	2	1															
259122469	21367	21367	2013	2	1	240151526	160120820	240151526	222154542	1	158	5	170	12	12.433	88	1.30	34	5.08	3.78	22.78	26.00	12.75	23.800	2	2	2															
259122470	21367	21367	2013	2	1	240151526	160120820	240151526	191123962	1	158	5	170	12	12.433	42	0.61	30	3.48	2.87	23.38	35.00	17.45	24.190	1	2	1															
259122471	21367	21367	2013	2	1	240151526	160120820	240151526	160120820	1	158	5	170	12	12.433	54	1.18	31	38.97	37.79	25.00	37.00	19.50	25.570	1	1	1															
240151568	21369	21369	2013	2	1	240151503	191123962	240151503	239159631	1	149	5	161	12	13.667	115	18.72	NA	NA	NA	23.50	35.00	14.50	20.101	1	2	2															
240151569	21369	21369	2013	2	1	240151503	191123962	240151503	239159631	1	149	5	161	12	13.667	88	14.21	NA	NA	NA	22.99	31.00	12.20	19.097	1	2	2															
240151570	21369	21369	2013	2	1	240151503	191123962	240151503	239159631	1	149	5	161	12	13.667	116	7.12	NA	NA	NA	22.80	37.50	14.80	19.148	1	2	2															
240151571	21369	21369	2013	2	1	240151503	191123962	240151503	239159631	1	149	5	161	12	13.667	69	28.91	NA	NA	NA	23.09	37.20	15.45	20.150	1	2	2															
240151572	21369	21369	2013	2	1	240151503	191123962	240151503	239159631	1	149	5	161	12	13.667	52	32.39	NA	NA	NA	24.90	41.50	18.50	21.625	1	2	2															
259122430	21375	21375	2013	2	1	240151517	240151278	240151517	240151278	1	152	5	165	13	13.000	35	0.61	38	0.61	0.00	24.50	49.50	18.50	18.127	2	1	1															
259122431	21375	21375	2013	2	1	240151517	240151278	240151517	240151278	1	152	5	165	13	13.000	48	43.12	41	30.69	-12.43	23.00	36.50	11.20	14.888	2	1	2															
259122432	21375	21375	2013	2	1	240151517	240151278	240151517	240151278	1	152	5	165	13	13.000	180	0.74	39	0.81	0.08	25.50	47.00	19.25	19.866	1	1	1															
259122433	21375	21375	2013	2	1	240151517	240151278	240151517	240151278	1	152	5	165	13	13.000	52	1.02	38	3.84	2.82	25.12	52.50	19.55	18.060	2	1	1															
259122434	21375	21375	2013	2	1	240151517	240151278	240151517	240151278	1	152	5	165	13	13.000	62	0.61	40	3.03	2.42	25.08	48.00	18.60	18.795	1	1	1															
259122481	21376	21376	2013	2	1	240151532	240151301	240151532	240151301	1	159	3	172	13	15.750	50	0.88	35	26.64	25.76	26.40	60.50	23.00	18.435	1	1	1															
259122482	21376	21376	2013	2	1	240151532	240151301	240151532	240151301	1	159	3	172	13	15.750	98	2.77	31	31.55	28.78	27.00	57.50	24.20	20.410	1	1	1															
259122483	21376	21376	2013	2	1	240151532	240151301	240151532	240150294	1	159	3	172	13	15.750	120	3.50	33	30.13	26.63	26.30	58.50	24.30	20.144	2	2	1															
259122511	21384	21384	2013	2	1	240151523	240150352	240151523	NA	1	182	4	194	12	13.433	35	14.58	30	49.80	35.22	25.62	54.50	16.80	14.950	1	2	1															
259122512	21384	21384	2013	2	1	240151523	240150352	240151523	240150330	1	182	4	194	12	13.433	62	5.24	31	18.54	13.29	26.75	59.00	19.80	16.274	1	2	1															
259122513	21384	21384	2013	2	1	240151523	240150352	240151523	240150330	1	182	4	194	12	13.433	110	2.48	31	5.58	3.10	24.72	49.60	19.51	19.078	1	2	1															
259122514	21384	21384	2013	2	1	240151523	240150352	240151523	240150330	1	182	4	194	12	13.433	173	14.91	34	58.62	43.71	25.51	55.00	17.90	15.784	2	2	1															
259122462	21391	21391	2013	2	1	160120102	239159636	160120102	239159636	1	157	4	169	12	12.633	30	16.08	37	5.14	-10.94	25.70	47.00	18.25	18.834	1	1	1															
259122463	21391	21391	2013	2	1	160120102	239159636	160120102	239159636	1	157	4	169	12	12.633	50	23.51	35	42.07	18.56	25.52	49.80	15.80	15.388	2	1	2															
259122464	21391	21391	2013	2	1	160120102	239159636	160120102	239159636	1	157	4	169	12	12.633	48	0.83	39	19.60	18.77	26.40	57.20	21.65	18.355	1	1	1															
259122465	21391	21391	2013	2	1	160120102	239159636	160120102	240151541	1	157	4	169	12	12.633	51	1.63	32	45.35	43.72	25.68	51.90	19.20	17.942	2	2	1															
259122497	21393	21393	2013	2	1	240151533	259122442	240151533	240150325	1	162	5	175	13	12.267	77	4.71	32	24.39	19.68	25.71	55.50	21.40	18.700	2	2	1															
259122498	21393	21393	2013	2	1	240151533	259122442	240151533	259122442	1	162	5	175	13	12.267	47	3.12	30	13.55	10.43	24.78	56.50	19.20	16.480	2	1	1															
259122500	21393	21393	2013	2	1	240151533	259122442	240151533	259122442	1	162	5	175	13	12.267	123	4.60	31	14.60	10.01	26.49	59.20	24.55	20.110	1	1	1															
259122601	21393	21393	2013	2	1	240151533	259122442	240151533	259122442	1	162	5	175	13	12.267	47	6.04	30	5.05	-0.99	25.60	55.00	21.95	19.355	1	1	1															
259122435	21397	21397	2013	2	1	240150945	240151371	240150945	240151371	1	152	5	165	13	13.450	48	0.61	31	3.99	3.38	24.75	47.00	18.80	19.402	1	1	1															
259122436	21397	21397	2013	2	1	240150945	240151371	240150945	240151531	1	152	5	165	13	13.450	82	0.61	30	6.99	6.38	24.95	54.50	21.75	19.355	1	2	1															
259122437	21397	21397	2013	2	1	240150945	240151371	240150945	191123955	1	152	5	165	13	13.450	52	0.61	30	7.31	6.70	25.05	51.20	16.60	15.725	2	2	1															
259122438	21397	21397	2013	2	1	240150945	240151371	240150945	240151340	1	152	5	165	13	13.450	56	NA	30	2.90	NA	25.55	40.00	16.00	19.405	1	2	1															
259122439	21397	21397	2013	2	1	240150945	240151371	240150945	240151371	1	152	5	165	13	13.450	96	2.37	30	17.34	14.97	25.10	49.50	19.20	18.813	1	1	1															
240151543	213106	213106	2013	2	1	240151501	240151528	240151501	NA	1	145	6	157	12	12.333	200	15.77	34	72.69	56.93	25.90	53.50	19.70	17.858	NA	NA	2															
240151544	213106	213106	2013	2	1	240151501	240151528	240151501	240151528	1	145	6	157	12	12.333	109	3.53	31	50.67	47.14	27.10	54.50	18.70	16.641	2	1	2															
240151545	213106	213106	2013	2	1	240151501	240151528	240151501	NA	1	145	6	157	12	12.333	90	16.65	35	147.16	130.52	24.75	47.00	19.00	19.608	1	2	2															
240151546	213106	213106	2013	2	1	240151501	240151528	240151501	240151528	1	145	6	157	12	12.333	210	NA	40	139.50	NA	26.50	48.00	18.50	18.694	1	1	2															
240151547	213106	213106	2013	2	1	240151501	240151528	240151501	NA	1	145	6	157	12	12.333	58	9.26	37	NA	NA	27.35	52.00	19.20	17.908	1	2	2															
240151599	213106	213106	2013	2	1	240151501	240151528	240151501	240151528	1	145	6	157	12	12.333	184	NA	43	68.37	NA	26.25	46.50	19.00	19.820	1	1	2															
259122466	213109	213109	2013	2	1	191123985	239159631	191123985	239159631	1	157	1	169	12	13.133	39	2.72	30	29.87	27.15	24.40	45.00	19.25	20.750	2	1	1															
240151564	213110	213110	2013	2	1	222153407	222154542	222153407	240151540	1	148	2	160	12	13.750	55	24.41	39	NA	NA	23.41	27.40	11.40	20.192	2	2	2															
