Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Sample,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
F7,FALSE,21,Target 1,Unknown,SYBR,14.72246937,0.902213368,1.726758729,Amp,FALSE,21,,,,,3,9,78.08032227,,,,,
D9,FALSE,22,Target 1,Unknown,SYBR,11.62757251,0.979858791,1.725792233,Amp,FALSE,22,11.82,0.17,1.4,1.01,3,7,78.88868713,,,,,
E9,FALSE,22,Target 1,Unknown,SYBR,11.87893525,0.981921507,1.725329979,Amp,FALSE,22,,,,,3,6,78.61923218,,,,,
F9,FALSE,22,Target 1,Unknown,SYBR,11.94034534,0.988450219,1.724914652,Amp,FALSE,22,,,,,3,7,78.88868713,,,,,
D11,FALSE,23,Target 1,Unknown,SYBR,12.53348304,0.98582547,1.728297356,Amp,FALSE,23,13.83,2.28,16.51,1.19,3,8,78.75395966,,,,,
E11,FALSE,23,Target 1,Unknown,SYBR,12.49656358,0.987816689,1.721571699,Amp,FALSE,23,,,,,3,7,78.75395966,,,,,
F11,FALSE,23,Target 1,Unknown,SYBR,16.47097931,0.565774752,1.722427636,Inconclusive,FALSE,23,,,,,3,11,78.4845047,,,,,
D13,FALSE,24,Target 1,Unknown,SYBR,12.08611802,0.985026935,1.711800372,Amp,FALSE,24,12.09,0.19,1.57,1.04,3,6,78.75628662,,,,,
E13,FALSE,24,Target 1,Unknown,SYBR,12.28240276,0.98041554,1.710587611,Amp,FALSE,24,,,,,3,6,78.62149811,,,,,
F13,FALSE,24,Target 1,Unknown,SYBR,11.90358905,0.991523759,1.729652107,Amp,FALSE,24,,,,,3,6,78.75628662,,,,,
D15,FALSE,25,Target 1,Unknown,SYBR,15.50996407,0.98796229,1.720472922,Amp,FALSE,25,16.26,1.16,7.13,1.4,3,10,78.48670959,,,,,
E15,FALSE,25,Target 1,Unknown,SYBR,15.67698022,0.993627555,1.72006673,Amp,FALSE,25,,,,,3,9,78.48670959,,,,,
F15,FALSE,25,Target 1,Unknown,SYBR,17.59778575,0.962464065,1.71922367,Amp,FALSE,25,,,,,3,12,78.21713257,,,,,
D17,FALSE,26,Target 1,Unknown,SYBR,12.48699286,0.983938065,1.723696549,Amp,FALSE,26,12.57,0.1,0.81,1.08,3,8,78.75628662,,,,,
E17,FALSE,26,Target 1,Unknown,SYBR,12.68223503,0.98222382,1.72221824,Amp,FALSE,26,,,,,3,6,78.75628662,,,,,
F17,FALSE,26,Target 1,Unknown,SYBR,12.53128586,0.98829005,1.730192103,Amp,FALSE,26,,,,,3,7,78.62149811,,,,,
D19,FALSE,27,Target 1,Unknown,SYBR,13.56725876,0.983618975,1.718029149,Amp,FALSE,27,13.77,0.18,1.34,1.18,3,9,78.75628662,,,,,
E19,FALSE,27,Target 1,Unknown,SYBR,13.92516729,0.986645345,1.72652332,Amp,FALSE,27,,,,,3,8,78.62149811,,,,,
F19,FALSE,27,Target 1,Unknown,SYBR,13.82729121,0.994199021,1.743147904,Amp,FALSE,27,,,,,3,7,78.62149811,,,,,
D21,FALSE,28,Target 1,Unknown,SYBR,13.51017268,0.982000087,1.696232737,Amp,FALSE,28,13.52,0.11,0.84,1.16,3,9,78.62149811,,,,,
E21,FALSE,28,Target 1,Unknown,SYBR,13.63830064,0.984867531,1.707985523,Amp,FALSE,28,,,,,3,8,78.62149811,,,,,
F21,FALSE,28,Target 1,Unknown,SYBR,13.41171346,0.98668235,1.708536984,Amp,FALSE,28,,,,,3,8,78.62149811,,,,,
D23,FALSE,29,Target 1,Unknown,SYBR,11.53283689,0.967351042,1.716926772,Amp,FALSE,29,12.28,0.87,7.07,1.05,3,6,78.75628662,,,,,
E23,FALSE,29,Target 1,Unknown,SYBR,13.22957317,0.976906857,1.687582155,Amp,FALSE,29,,,,,3,9,78.75628662,,,,,
F23,FALSE,29,Target 1,Unknown,SYBR,12.06719222,0.965133839,1.7022891,Amp,FALSE,29,,,,,3,7,79.02586365,,,,,
D2,FALSE,30,Target 1,Unknown,SYBR,12.91277531,0.990937653,1.711926292,Amp,FALSE,30,13.11,0.18,1.38,1.13,3,8,78.61923218,,,,,
E2,FALSE,30,Target 1,Unknown,SYBR,13.15386764,0.987841427,1.702389999,Amp,FALSE,30,,,,,3,7,78.61923218,,,,,
F2,FALSE,30,Target 1,Unknown,SYBR,13.26640183,0.988732916,1.707534858,Amp,FALSE,30,,,,,3,8,78.61923218,,,,,
D4,FALSE,31,Target 1,Unknown,SYBR,11.48811184,0.98881796,1.723794156,Amp,FALSE,31,12.03,0.48,4,1.03,3,6,79.02341461,,,,,
E4,FALSE,31,Target 1,Unknown,SYBR,12.17323094,0.981493996,1.709236448,Amp,FALSE,31,,,,,3,6,78.75395966,,,,,
F4,FALSE,31,Target 1,Unknown,SYBR,12.41572945,0.984449854,1.705827966,Amp,FALSE,31,,,,,3,6,78.75395966,,,,,
D6,FALSE,32,Target 1,Unknown,SYBR,11.15271486,0.991230841,1.720601347,Amp,FALSE,32,11.57,0.37,3.23,0.99,3,6,78.88868713,,,,,
E6,FALSE,32,Target 1,Unknown,SYBR,11.69679736,0.993185558,1.723692659,Amp,FALSE,32,,,,,3,6,78.75395966,,,,,
F6,FALSE,32,Target 1,Unknown,SYBR,11.87008405,0.987193017,1.723474343,Amp,FALSE,32,,,,,3,6,78.75395966,,,,,
D8,FALSE,33,Target 1,Unknown,SYBR,11.30030831,0.961025889,1.715231435,Amp,FALSE,33,11.63,0.3,2.59,1,3,6,78.88868713,,,,,
E8,FALSE,33,Target 1,Unknown,SYBR,11.88345893,0.960446742,1.723369345,Amp,FALSE,33,,,,,3,6,78.75395966,,,,,
F8,FALSE,33,Target 1,Unknown,SYBR,11.72038328,0.953756238,1.728154876,Amp,FALSE,33,,,,,3,6,78.88868713,,,,,
D10,FALSE,34,Target 1,Unknown,SYBR,12.0754156,0.986585773,1.726407331,Amp,FALSE,34,12.7,0.63,4.99,1.09,3,7,78.75395966,,,,,
E10,FALSE,34,Target 1,Unknown,SYBR,12.69028985,0.985852419,1.702399855,Amp,FALSE,34,,,,,3,6,78.61923218,,,,,
F10,FALSE,34,Target 1,Unknown,SYBR,13.34382032,0.967466524,1.751277822,Amp,FALSE,34,,,,,3,7,78.4845047,,,,,
D12,FALSE,35,Target 1,Unknown,SYBR,11.50497387,0.98572516,1.724827676,Amp,FALSE,35,12.09,0.51,4.2,1.04,3,6,78.75395966,,,,,
E12,FALSE,35,Target 1,Unknown,SYBR,12.32043562,0.98021462,1.720455037,Amp,FALSE,35,,,,,3,6,78.75395966,,,,,
F12,FALSE,35,Target 1,Unknown,SYBR,12.43482428,0.982662747,1.721845536,Amp,FALSE,35,,,,,3,7,78.61923218,,,,,
D14,FALSE,36,Target 1,Unknown,SYBR,12.39220817,0.984901209,1.713326225,Amp,FALSE,36,13.06,0.61,4.68,1.12,3,8,78.48670959,,,,,
E14,FALSE,36,Target 1,Unknown,SYBR,13.20433329,0.988943765,1.721323917,Amp,FALSE,36,,,,,3,7,78.35192108,,,,,
F14,FALSE,36,Target 1,Unknown,SYBR,13.58851278,0.99253228,1.730504564,Amp,FALSE,36,,,,,3,8,78.35192108,,,,,
D16,FALSE,37,Target 1,Unknown,SYBR,12.58549858,0.997142592,1.725042139,Amp,FALSE,37,13.04,0.4,3.04,1.12,3,8,78.62149811,,,,,
E16,FALSE,37,Target 1,Unknown,SYBR,13.27822348,0.981794922,1.723841402,Amp,FALSE,37,,,,,3,7,78.48670959,,,,,
F16,FALSE,37,Target 1,Unknown,SYBR,13.26709272,0.985527229,1.729800895,Amp,FALSE,37,,,,,3,8,78.48670959,,,,,
D18,FALSE,38,Target 1,Unknown,SYBR,12.24542962,0.961972139,1.718369909,Amp,FALSE,38,12.61,0.38,2.98,1.08,3,6,78.75628662,,,,,
E18,FALSE,38,Target 1,Unknown,SYBR,12.59498605,0.984300326,1.724001679,Amp,FALSE,38,,,,,3,6,78.62149811,,,,,
F18,FALSE,38,Target 1,Unknown,SYBR,12.9953384,0.979619886,1.706926269,Amp,FALSE,38,,,,,3,8,78.62149811,,,,,
D20,FALSE,39,Target 1,Unknown,SYBR,13.21761865,0.97909269,1.706590279,Amp,FALSE,39,13.07,0.15,1.13,1.12,3,6,78.75628662,,,,,
