Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Cq_mu,Cq_sd,cq_cv,Cq_relative,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
D21,FALSE,28,Target 1,Unknown,SYBR,13.12586058,0.989341233,1.665149045,Amp,FALSE,13.47,0.35,2.58,1.03,3,7,78.18198395,,,,,
E21,FALSE,28,Target 1,Unknown,SYBR,13.82137758,0.994008008,1.698340011,Amp,FALSE,,,,,3,8,78.31661987,,,,,
F21,FALSE,28,Target 1,Unknown,SYBR,13.47501115,0.995243637,1.69675136,Amp,FALSE,,,,,3,8,78.45126343,,,,,
D23,FALSE,29,Target 1,Unknown,SYBR,13.25368239,0.991110973,1.710156404,Amp,FALSE,13.46,0.55,4.12,1.03,3,8,78.58590698,,,,,
E23,FALSE,29,Target 1,Unknown,SYBR,14.08694229,0.938164718,1.684151783,Amp,FALSE,,,,,3,10,78.58590698,,,,,
F23,FALSE,29,Target 1,Unknown,SYBR,13.03798833,0.994752852,1.698153186,Amp,FALSE,,,,,3,8,78.72055054,,,,,
D2,FALSE,30,Target 1,Unknown,SYBR,11.07578356,0.991923675,1.686128078,Amp,FALSE,11.74,0.60,5.14,0.90,3,6,78.58453369,,,,,
E2,FALSE,30,Target 1,Unknown,SYBR,11.9101124,0.993659243,1.68148062,Amp,FALSE,,,,,3,7,78.31529236,,,,,
F2,FALSE,30,Target 1,Unknown,SYBR,12.24796226,0.992581727,1.694635805,Amp,FALSE,,,,,3,7,78.31529236,,,,,
D4,FALSE,31,Target 1,Unknown,SYBR,13.40285354,0.99540021,1.728308157,Amp,FALSE,13.43,0.05,0.37,1.03,3,8,78.58453369,,,,,
E4,FALSE,31,Target 1,Unknown,SYBR,13.3928371,0.986073188,1.72926884,Amp,FALSE,,,,,3,8,78.58453369,,,,,
F4,FALSE,31,Target 1,Unknown,SYBR,13.48456885,0.994715515,1.70770753,Amp,FALSE,,,,,3,8,78.44991302,,,,,
D6,FALSE,32,Target 1,Unknown,SYBR,12.2207063,0.993460467,1.723107607,Amp,FALSE,12.29,0.24,1.94,0.94,3,7,78.58453369,,,,,
E6,FALSE,32,Target 1,Unknown,SYBR,12.09833075,0.992761191,1.712260911,Amp,FALSE,,,,,3,7,78.58453369,,,,,
F6,FALSE,32,Target 1,Unknown,SYBR,12.55888721,0.994372594,1.710270316,Amp,FALSE,,,,,3,7,78.44991302,,,,,
D8,FALSE,33,Target 1,Unknown,SYBR,12.70451051,0.980085549,1.728840881,Amp,FALSE,12.12,0.51,4.18,0.93,3,8,78.58453369,,,,,
