Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Baseline Start,Baseline End,Tm1,Tm2,Curve Quality,Result Quality Issues
A21,false,4,Target 1,Unknown,SYBR,14.328583242395801,0.9527036720308177,1.6541088188697033,Amp,false,3,7,78.47834014892578,,,
A22,false,16,Target 1,Unknown,SYBR,10.824775470682447,0.9693910719033776,1.6747258565453944,Amp,false,3,5,79.69086456298828,,,
A23,false,5,Target 1,Unknown,SYBR,13.590483995750272,0.9781471400556698,1.6714634339576513,Amp,false,3,8,78.74778747558594,,,
A24,false,17,Target 1,Unknown,SYBR,10.904242875595681,0.9766986156806183,1.6948460786532908,Amp,false,3,5,79.55614471435547,,,
B1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.9947641212615715,No Amp,false,3,22,78.88150787353516,72.55191802978516,,
B2,false,6,Target 1,Unknown,SYBR,12.768266411125147,0.9674389609239521,1.7060904777426713,Amp,false,3,8,78.88150787353516,,,
B3,false,123,Target 1,Unknown,SYBR,12.424667335765626,0.9894863810451723,1.7059950328518283,Amp,false,3,7,78.74684143066406,,,
B4,false,7,Target 1,Unknown,SYBR,12.166513509510498,0.9777709241911751,1.7185232785068825,Amp,false,3,7,78.74684143066406,,,
B5,false,124,Target 1,Unknown,SYBR,13.024260097162408,0.9858357386704574,1.7125990904924455,Amp,false,3,6,78.74684143066406,,,
B6,false,8,Target 1,Unknown,SYBR,14.069704578793505,0.9780499481014829,1.6986656413580832,Amp,false,3,7,78.47749328613281,,,
B7,false,125,Target 1,Unknown,SYBR,13.988233278128718,0.9855966254589815,1.7107610703444371,Amp,false,3,8,78.61216735839844,,,
B8,false,9,Target 1,Unknown,SYBR,14.014957687061248,0.9878640159400403,1.7134569402563973,Amp,false,3,8,78.47749328613281,,,
B9,false,126,Target 1,Unknown,SYBR,15.17179647491665,0.9901780859252516,1.7186388259185534,Amp,false,3,9,78.61216735839844,,,
B10,false,10,Target 1,Unknown,SYBR,13.016429015881936,0.9867859518328884,1.7148329040129853,Amp,false,3,7,78.61216735839844,,,
B11,false,127,Target 1,Unknown,SYBR,16.015701742817864,0.9897661750554595,1.728375122387723,Amp,false,3,10,78.47749328613281,,,
B12,false,11,Target 1,Unknown,SYBR,13.427543737980937,0.988693508713594,1.714973123167965,Amp,false,3,7,78.61216735839844,,,
B13,false,128,Target 1,Unknown,SYBR,12.798135578888193,0.9943207879271523,1.7196455241851842,Amp,false,3,7,78.74778747558594,,,
B14,false,12,Target 1,Unknown,SYBR,13.116559443035694,0.9903588236285394,1.7108076982778047,Amp,false,3,7,78.74778747558594,,,
B15,false,1,Target 1,Unknown,SYBR,12.68700312238423,0.9862237275890658,1.712130098010838,Amp,false,3,6,78.61306762695312,,,
B16,false,13,Target 1,Unknown,SYBR,12.095878164307802,0.9847223714753461,1.7096188843656042,Amp,false,3,7,78.61306762695312,,,
B17,false,2,Target 1,Unknown,SYBR,13.020106832818616,0.9623884430431738,1.7065068852544496,Amp,false,3,7,78.88251495361328,,,
B18,false,14,Target 1,Unknown,SYBR,11.55715365418456,0.9836333227240807,1.7127514779042283,Amp,false,3,6,78.88251495361328,,,
B19,false,3,Target 1,Unknown,SYBR,11.933031546112268,0.9835729352033251,1.7211842257451013,Amp,false,3,6,79.55614471435547,,,
B20,false,15,Target 1,Unknown,SYBR,12.917134370356386,0.966859979981584,1.7005349053999619,Amp,false,3,7,78.74778747558594,,,
B21,false,4,Target 1,Unknown,SYBR,12.241703146282937,0.9726468209432021,1.7117807332325805,Amp,false,3,6,79.55614471435547,,,
B22,false,16,Target 1,Unknown,SYBR,12.335269439867488,0.9780820421529824,1.6788441436005739,Amp,false,3,6,78.74778747558594,,,
B23,false,5,Target 1,Unknown,SYBR,13.79854451087117,0.9838826164346716,1.6858095485571403,Amp,false,3,7,78.74778747558594,,,
B24,false,17,Target 1,Unknown,SYBR,12.94052249223854,0.966232933706752,1.6818038217892952,Amp,false,3,7,78.47834014892578,,,
C1,false,122,Target 1,Unknown,SYBR,Undetermined,0,0.9897704690749185,No Amp,false,3,22,78.74684143066406,72.41724395751953,,
C2,false,6,Target 1,Unknown,SYBR,12.674263621102334,0.9831642081781239,1.7033895348080892,Amp,false,3,6,78.74684143066406,,,
C3,false,123,Target 1,Unknown,SYBR,12.071094447601254,0.9818793302504278,1.7372610586893171,Amp,false,3,6,78.74684143066406,,,
C4,false,7,Target 1,Unknown,SYBR,12.43911561088931,0.9850403124593277,1.7214940988574778,Amp,false,3,7,78.74684143066406,,,
C5,false,124,Target 1,Unknown,SYBR,13.167817130018495,0.9899351772751954,1.7187472884100183,Amp,false,3,7,78.61216735839844,,,
C6,false,8,Target 1,Unknown,SYBR,14.08903892280128,0.9840637789493002,1.715565185545312,Amp,false,3,7,78.47749328613281,,,
C7,false,125,Target 1,Unknown,SYBR,14.154409317951853,0.991130902553379,1.7167191480396955,Amp,false,3,8,78.61216735839844,,,
C8,false,9,Target 1,Unknown,SYBR,14.104044962467405,0.9898278893770877,1.719247060345416,Amp,false,3,8,78.47749328613281,,,
C9,false,126,Target 1,Unknown,SYBR,15.341240788618737,0.9782132400311248,1.717782207299776,Amp,false,3,10,78.61216735839844,,,
C10,false,10,Target 1,Unknown,SYBR,12.984558461393753,0.9929450881645917,1.71137496219536,Amp,false,3,7,78.61216735839844,,,
C11,false,127,Target 1,Unknown,SYBR,16.097060998665377,0.9893630184000225,1.726312214977904,Amp,false,3,8,78.61216735839844,,,
